user_id,timestamp,channel,campaign,touchpoint_id,conversion,revenue
user_0302,2025-09-30 13:00:00,email,Brand Awareness,tp_523199,0,0.0
user_0446,2025-05-11 18:00:00,display ad ,Loyalty Rewards,tp_419351,1,131.67
user_0375,2025-10-15 22:00:00,Direct,Spring Promo,tp_744011,0,0.0
user_0384,2025-06-18 02:00:00,Influencer,Loyalty Rewards,tp_517079,0,0.0
user_0076,2025-10-05 13:00:00,Social Media,Spring Promo,tp_570435,0,0.0
user_0058,2025-09-07 20:00:00,Direct, Brand Awareness ,tp_596550,0,0.0
user_0344,2025-10-18 23:00:00,Direct,Retention Push,tp_251752,0,0.0
user_0396,2025-10-10 10:00:00,SOCIAL media,Holiday Blast,tp_130311,0,0.0
user_0213,2025-10-24 22:00:00,Referral,Spring Promo,tp_542365,0,0.0
user_0419,2025-06-12 20:00:00,Social Media, Brand Awareness ,tp_789520,0,0.0
user_0211,2025-09-29 14:00:00,Affiliate,Brand Awareness,tp_769981,1,178.64
user_0163,2025-07-07 16:00:00,Influencer,Spring Promo,tp_944675,0,0.0
user_0062,2025-06-14 21:00:00,Organic, Brand Awareness ,tp_580597,0,0.0
user_0259,2025-05-08 15:00:00,Display Ad,Brand Awareness,tp_579335,0,0.0
user_0348,2025-06-21 18:00:00,Direct,Holiday Blast,tp_929268,0,0.0
user_0318,2025-09-08 00:00:00,Social Media,Retention Push,tp_799928,0,0.0
user_0317,2025-07-10 22:00:00,Referral,Brand Awareness,tp_618991,0,0.0
user_0241,2025-06-01 16:00:00,Influencer,Loyalty Rewards,tp_666141,0,0.0
user_0172,2025-06-24 11:00:00,Social Media,Brand Awareness,tp_458526,0,0.0
user_0062,2025-08-22 16:00:00,Affiliate, Brand Awareness ,tp_452378,0,0.0
user_0424,2025-06-14 09:00:00,SOCIAL media, Brand Awareness ,tp_427070,0,0.0
user_0408,2025-08-13 22:00:00,Influencer, Brand Awareness ,tp_824127,0,0.0
user_0014,2025-07-23 09:00:00,Social Media,Holiday Blast,tp_112415,0,0.0
user_0497,2025-6-21 15,Direct,Retention Push,tp_498646,0,0.0
user_0401,2025-10-19 03:00:00,Direct,Brand Awareness,tp_549081,0,0.0
user_0499,2025-07-12 07:00:00,Influencer,Spring Promo,tp_990746,0,0.0
