user_id,timestamp,source,text,rating
user_0050,2025-06-15 00:00:00,email_feedback,"Email offers are great, I found a nice deal.",5
user_0456,2025-08-11 11:00:00,chatbot,"Ad was misleading, the discount didn’t apply.",
user_0231,2025-10-21 09:00:00,app_review,Customer service was rude and unhelpful.,
user_0254,2025-05-14 23:00:00,email_feedback,The loyalty program is confusing.,5
user_0155,2025-10-15 11:00:00,email_feedback,"My issue was solved quickly, thank you.",
user_0387,2025-10-12 06:00:00,twitter,Customer service was rude and unhelpful.,
user_0014,2025-07-31 19:00:00,twitter,"Great UX overall, I’ll recommend to friends! 👍",4
user_0187,2025-06-08 18:00:00,email_feedback,"Email offers are great, I found a nice deal.",1
user_0130,2025-06-29 08:00:00,twitter,The app keeps crashing when I try to pay. 😡,
user_0298,2025-07-07 02:00:00,email_feedback,"My issue was solved quickly, thank you.",
user_0333,2025-09-03 10:00:00,chatbot,"Email offers are great, I found a nice deal.",
user_0025,2025-09-22 08:00:00,app_review,"Still waiting for my refund, very frustrating.",1
user_0350,2025-07-31 18:00:00,chatbot,I love how fast the checkout process is!,1
user_0256,2025-10-08 14:00:00,chatbot,"Great UX overall, I’ll recommend to friends! 👍",
user_0140,2025-07-27 15:00:00,email_feedback,"Great UX overall, I’ll recommend to friends! 👍",2
user_0387,2025-06-02 09:00:00,email_feedback,I love how fast the checkout process is!,2
user_0286,2025-06-21 04:00:00,twitter,I love how fast the checkout process is!,
user_0174,2025-06-22 16:00:00,twitter,"Great UX overall, I’ll recommend to friends! 👍",1
user_0038,2025-08-24 18:00:00,app_review,"My issue was solved quickly, thank you.",3
user_0305,2025-07-18 11:00:00,twitter,"Still waiting for my refund, very frustrating.",1
user_0440,2025-05-02 11:00:00,chatbot,"Email offers are great, I found a nice deal.",1
user_0267,2025-07-28 12:00:00,twitter,Socail media posts were engaging!,5
user_0228,6/10/2025 16:0,twitter,Customer service was rude and unhelpful.,2
user_0237,2025-09-15 15:00:00,app_review,"Email offers are great, I found a nice deal.",4
user_0446,22/5/2025 4:0,chatbot,Socail media posts were engaging!,
user_0107,2025-05-25 04:00:00,email_feedback,Customer service was rude and unhelpful.,5
user_0304,2025-09-18 00:00:00,twitter,The loyalty program is confusing.,3
user_0189,2025-09-18 15:00:00,chatbot,"Great UX overall, I’ll recommend to friends! 👍",2
user_0281,2025-10-23 11:00:00,chatbot,The loyalty program is confusing.,3
user_0016,2025-07-22 03:00:00,twitter,I love how fast the checkout process is!,1
